SEQUENCE_ID,GROUP,ADDRESS_1,STREET,CITY,ZIP,COUNTRY,CLIENT_ID
000030,F,Hamilton Guthrie,733-7445 Sem Rd.,Tiverton,97840-40286,France,E91B6D76-4BF6-B8D9-8419-94335564D196
000031,B,Florence Lopez,392-8991 Fringilla Rd.,Liberia,15527,France,2EAD64FB-F931-B89B-9BD9-6D7EEA9289A6
000032,B,Paula Sykes,6261 Congue Rd.,Shimla,692715,France,4BD0E184-F08F-2BBA-3408-E635D23B9899
000033,A,Basil Macdonald,Ap #650-7432 Eu St.,Bordeaux,71330-45963,United States,DC9B7748-A69A-74CC-2087-E7A331632AFC
000034,C,Jack Aguilar,Ap #833-737 Lacus. Rd.,Turbo,512605,United States,C3142A6C-D1F2-26B8-AC16-88AB946C9511
000035,D,Sasha Cruz,5101 Mauris Road,Puerto Vallarta,Y2A 3QE,United States,7B3A3B3A-F57E-1CDD-7C21-99E2E873C837
000036,E,Meredith Cherry,Ap #716-1522 Consequat Avenue,Broken Hill,978767,France,7895B3DD-46BF-EB2B-B0FD-941F53722B09
000037,A,Melvin Albert,Ap #932-9975 Felis Road,Pontevedra,54820,France,58C83025-1600-98AD-423C-571A7E28965B
000038,A,Sydney Hamilton,Ap #601-7388 Imperdiet Avenue,Lleida,2550,France,B9E3182E-F64C-CAEE-9422-286D2E705749
000039,A,Ashton Armstrong,530-7237 Est Ave,Dunbar,53198,France,8F36E029-522B-43C0-61B3-CCACFE34EADD
000040,B,Quamar Marsh,Ap #789-2621 Non Av.,Mango,298880,United States,558F7353-45C6-1C26-112B-8C3D3534CC85
000041,D,Sage Wilcox,110-3974 Mauris Road,Gmunden,3395,France,D736C7B2-8936-F63B-E9EE-2B5936BDE595
000042,C,Brenda Colon,Ap #378-1264 Erat Av.,Thalassery,IK77 7IL,France,C687EB02-BD8E-850B-9CB0-07EFDB9E234A
000043,C,Colton Knox,Ap #394-9169 Duis Av.,Puno,699814,France,11B8DC8D-AE2A-2B49-3BB1-C2B20377D918
000044,B,Akeem Casey,732-7361 Lacus. Avenue,General Lagos,712642,France,B2B65648-EB58-3E3D-CCE5-353199566302
000045,D,Kenneth Whitaker,114-2352 Scelerisque St.,Timaru,5674,United States,765A5E2B-348A-6A4F-BA99-A62A4E7A44E0
000046,A,Sydnee Cote,974-6266 In Road,Heusweiler,2489,United States,97911E71-CB2D-5184-CC8A-42DC2183A499
000047,A,Raphael Carter,Ap #979-3396 Libero Rd.,Kurram Agency,8731,France,3D152829-22A9-6E65-3399-F28B5AEAC450
000048,C,John Hubbard,828-5141 Phasellus Street,Baden,22877,France,989CA4C5-1CA8-169F-2425-AA15285C8A55
000049,D,Fulton Gallagher,Ap #912-9209 Varius. Av.,Saint Paul,51708,France,E8011CB7-B2F4-D0D4-1081-DE16BED2BC23
000050,B,Hall House,1955 Dolor Rd.,Khushab,474815,France,5B1E2D5F-174C-03D2-DE98-3D3818712E93
000051,B,Emmanuel Pickett,922-5072 Sem Rd.,Preston,4971 VZ,United States,1A810D03-331C-5E25-6848-18049717FB7A
000052,C,Chaney Chapman,Ap #908-6966 Cras Rd.,Beijing,6443,United States,66D8A142-591E-21E6-9FBB-D5CB612347E0
000053,C,Yvonne Hensley,952-3736 Mauris Rd.,Kemerovo,907754,France,473E8D32-D29C-9E66-69D2-E7A83AF5D339
000054,A,Destiny Porter,Ap #443-3642 Ipsum. Avenue,Segovia,436257,France,DB23A562-CD31-56DC-79C9-BC02D2E78355
000055,D,Colt Roberts,Ap #363-1542 Mauris St.,Valbrevenna,37772,France,1A4E7293-B75E-E9D4-89E3-F469F4A9642E
000056,B,Uma Roberson,Ap #197-2573 Vitae Av.,Tarma,52914,United States,12A1662A-4742-6FA7-52C9-FCFC45C2C8D4
000057,C,Kyra Hoover,Ap #211-3842 Rutrum St.,Alanya,11812,United States,8E20C4E6-E79E-E0BB-ECD5-15F21D5551B9
000058,C,Dane Hancock,688-2543 In St.,Juliaca,31525,France,E84ED233-157E-B26E-75D3-8451B144B783
000059,D,Elton Duncan,Ap #756-4356 Nunc Ave,Otegem,6141,United States,EE4C377A-41D5-C498-688B-383B3A43FB14
000060,B,Sade Finley,Ap #418-6480 Ipsum Rd.,Dessau,17934,United States,7BBCBC83-D12C-89C1-8364-C532CD781EA7
000061,A,Adrienne Rodriguez,912-3866 Dictum Ave,Seloignes,2477,United States,C3FD6731-E3AC-272F-FB9A-2488A30CF92B
000062,A,Zeus Mcintyre,Ap #957-9878 Duis Street,Corozal,368311,United States,4E52B6E3-14DA-8037-D362-156695A0FD9B
000063,D,Hannah Newman,371-5060 Molestie Rd.,Lonquimay,7024,United States,C27E378B-5B1D-8D9C-9ACE-69977AEA8ECC
000064,E,Allistair Mayo,Ap #817-5249 Aliquam Street,Katsina,873602,France,2CAE9B96-5B3D-B5BE-B1B3-E7EDBB2D306E
000065,F,Martena Phelps,Ap #218-8097 Eu Avenue,Sapele,2079,France,C3EAEB60-B9BC-5DC9-573E-BEDF7EE3B52C
000066,F,Hammett Preston,Ap #296-4162 In Avenue,Burgos,6928,United States,AE057C32-9D8C-EFDD-EE88-484D82CB2A40
000067,B,Kim Joyce,936-6579 Nisi. Avenue,Stirling,75184,France,BD18FC39-B5A3-996B-E6B9-2339939E69B3
000068,B,Nathaniel Lamb,170-1741 Non Av.,Picton,21307,France,468BB681-D147-7C3A-4C7D-7A5B34AF5F87
000069,A,Melyssa Schroeder,3676 Donec Avenue,Coldstream,942443,United States,F82281BD-5F47-B472-6238-A4CE82F17112
000070,C,Sheila Wall,5026 Auctor Rd.,Ludlow,25256,United States,55DE5FAE-E9CF-F2D5-6AA1-9C3E4A60DA1E
000071,D,Ginger Sampson,937-8869 Vel Street,Temuka,63483,France,3A5AC694-1348-BA8A-23A9-6B1588566A93
000072,E,Melvin Dale,470-5105 Et Av.,Da Lat,66057-36102,United States,9472C25B-B336-409B-4B96-7F4B54A7B976
000073,A,Calvin Noel,758-9758 Nullam Av.,Kemerovo,461473,France,432FE570-B42B-4D28-0D2B-053D0EF495E4
000074,D,Aristotle Duke,8164 Ipsum Street,Lauterach,22213,France,0A7208B2-7045-8681-5758-1782C8E6CC9D
000075,E,Adrienne Roy,954-7406 Tellus Road,Rio Verde,57258,United States,77BAB7DF-D96D-77B3-0E31-AB7DED305BBE
000076,F,Kaseem Sherman,7585 Eu Rd.,San Pablo,16477,France,AD30AF8A-1894-5A2D-3942-5615E21E253B
000077,F,Dai Fleming,571-2901 Duis Road,Hainan,88432,United States,D258FCB6-2DD6-BCA8-A68E-1EC1564ACB6D
000078,B,Kathleen Simpson,Ap #546-2937 Egestas Rd.,Huesca,68167,United States,E507E6C5-2522-CB1A-14ED-BA64477B433D
000079,B,Ezekiel Willis,2792 Sed Av.,Jecheon,464737,United States,29EA856E-B6B2-6248-A4AC-6C11D622DC24
000080,A,Germane Barnes,Ap #970-5344 Mi St.,Kirov,91736,United States,AE64F6D4-D79A-4178-4D55-4CF112AA2C57
000081,C,Igor Manning,1002 Justo St.,Jeongeup,6171,France,0BD105E5-2273-2B3F-E2EE-9F014E1CBABF
000082,D,Katell Justice,940-8814 Dui. Street,Manizales,739157,United States,9B6DE917-8963-39BC-848B-E298754D76B5
000083,E,Priscilla Buckley,414 Curabitur Road,Kozan,74796-380,France,5F1BC1E0-A98F-A9F5-BF5D-8702AC2D27C3
000084,A,Cassady Hamilton,Ap #389-8476 Urna Av.,Le Grand-Quevilly,0746 TJ,United States,3232E953-DA7F-4C75-53C2-9D1A18C15B17
000085,A,Vivien Schultz,Ap #628-1549 Faucibus Av.,Pelotas,4454,United States,B45FE830-9A16-ACCA-D4F2-9355C9411216
000086,A,Tad Trevino,884-4823 Nec St.,Hamburg,3826,France,6BC5F93B-4964-92B9-572C-64F2E81BB332
000087,B,Aidan Clark,Ap #325-7997 Morbi St.,Gasteiz,57259,France,6C2DD6AB-F312-B9F5-DBF8-D6754EDC01A9
000088,D,Henry Whitney,Ap #955-1555 Eget Street,Edmundston,32648,France,C4583395-9DBF-694B-2DA5-21C3D85A4253
000089,C,Yuri Mckay,Ap #623-8370 Morbi Avenue,Dublin,66338,France,F4E1FC90-DDAB-35F3-45F3-8EB6834B7DF2
000090,C,Brady Hinton,334-3262 A Rd.,Beijing,39548,United States,8761CC73-164B-BFBA-C76D-B715CDE84685
000091,B,Kieran Riddle,Ap #592-9201 Ultrices. St.,Montgomery,32152830,United States,7268A47F-02DD-F74A-B8FC-E7BCF559C245
000092,D,Malachi Gordon,949-9513 Porttitor Avenue,Vienna,40813,United States,498C529A-9194-43F7-AD69-B3446BC542A1
000093,A,Keegan Bartlett,Ap #462-4712 Sodales Road,Chimbote,20-313,France,9EA39D3A-0AD4-AAA1-ACA3-BC5A4440928C
000094,A,Slade Armstrong,Ap #577-2080 Nulla. Avenue,Jhang,42543,France,52662A12-1315-A2F4-D117-A65183BEC347
000095,C,Pandora Hensley,Ap #633-2256 Nascetur Av.,Kielce,18336,United States,657E6BD9-ADA7-F4C4-D1BA-E66125D465D0
000096,D,Thomas Dickerson,Ap #521-8673 Vitae Avenue,La Thuile,4639,France,2919DF16-5578-8AAE-4B26-6989195ADBF8
000097,B,Florence Chambers,7520 Turpis. Street,Pamplona,5025,France,B29C458B-2572-8CCA-14CE-8213E211CA5A
000098,B,Lewis Holcomb,522-5900 Libero. St.,Tarragona,145135,United States,70B25286-E5C3-87E2-40B5-E230573EAA2A
000099,C,Callum Swanson,751-6603 Rutrum. Rd.,Bissegem,976862,United States,30ECD262-B5E8-1992-097C-CEEB9A5C382C
000100,A,McKenzie Colon,Ap #799-6463 Ornare St.,Cork,5161,France,2DD31417-799A-4B96-353E-554CB77B13B9
000101,D,Carly Hester,Ap #800-8916 Per St.,Villa Latina,17397,United States,F7DF8963-5481-671D-B6E0-CEA3E1661485
000102,B,Charlotte Ingram,Ap #153-9465 Cras Ave,Weston-super-Mare,596407,United States,8384F5D7-EEC3-0277-F64C-23CF6330CB4B
000103,C,Rahim Schwartz,Ap #793-8695 Urna. Av.,Beijing,11941,France,952658FC-E2A3-7C58-10A5-13D33CC2A3DE
000104,C,Quinn Glenn,973-3025 Quis St.,Canela,753879,France,DFB82A93-E4E2-B8BC-5CE5-C55AF2848F25
000105,D,Alice Villarreal,Ap #995-7631 Tempor Rd.,Bajaur Agency,614761,France,4D4916AB-70D4-453E-5336-712FD5764946
000106,B,Claudia Carver,7804 Augue. Ave,Taltal,30216,United States,06FE6C15-8355-DBBB-677C-E70667767DB8
000107,A,Scarlet Wiley,500-3658 Neque Ave,Chimbote,727353,United States,7A8D498F-BC9D-C338-41C0-B7B6DDED3A67
000108,A,Rana Morgan,793-8933 Penatibus St.,Lakeland County,8454,France,2472C5AC-7B0A-B8C4-3429-C37527D1A2EE
000109,D,Lysandra Black,493-5849 Urna. Road,Mokpo,71076,United States,2412764B-7826-B57F-8365-DEA8D80038AE
000110,E,Joelle Armstrong,Ap #780-2011 Duis Avenue,Vaulx-lez-Chimay,836555,France,D5752647-24C4-CC3A-5F8C-51E2B4E8DDD2
000111,F,Lionel Best,202-4064 Orci. Av.,Bello,6223 EW,United States,62A64E7E-5297-0B45-D67B-C2E8305D6764
000112,F,Zenia Christian,Ap #921-1055 Ullamcorper Road,Wernigerode,602815,United States,4FAB7F6F-C14A-97B9-C15E-02254CBE86C9
000113,B,Mara York,7833 Sodales Road,Mores,251918,United States,F685DABA-A3BD-A577-CE7C-C98892371BA1
000114,B,Myles Wiley,5990 Scelerisque Rd.,Nocera Umbra,8572,United States,727C7C3B-C444-D5B1-42E9-C2542CB33919
000115,E,Cyrus Chavez,993-198 Sed Rd.,Dumai,5105,United States,4C2B2203-90D1-8865-1E22-35F3A2158143
000116,F,Abigail Moon,Ap #728-7895 Justo. Av.,Wolfurt,24463,France,911365B8-4C96-C46E-ECE6-A96F0517C77E
000117,F,Cassandra Benton,Ap #972-2220 Habitant Road,Iqaluit,758842,France,555C98F3-58EE-8A55-F7BA-48C21CD66451
000118,B,Aphrodite Kaufman,242-976 Sollicitudin Av.,Utrecht,562245,United States,4C8F141D-7568-0582-B004-B3DB6D17A7B2
000119,B,Keefe Daniels,483-6343 Eget Street,Hastings,6749,United States,E4F1CE54-B783-6658-7BE5-B61DC2FAFBB9
000120,A,Garrett Miller,495 Convallis Street,Inveraray,11025,United States,8CCB0981-E67D-8512-6DE6-BDDD7F131E77
000121,C,Oliver Ratliff,Ap #908-7870 Ac St.,Cork,551873,France,1C3CEE51-9744-34C7-E343-E285D3884F34
000122,D,Trevor Lee,Ap #367-7242 Sit Avenue,Galway,MO4P 6CG,United States,3CE35120-BAFE-4AEC-9DB3-3C35D93E93E8
000123,E,Anastasia Wallace,433-5305 Interdum Avenue,Owerri,8462,France,D3C697ED-5CA5-5A86-7576-73826D705371
000124,A,Pascale Newton,6329 Egestas Ave,Troyes,51200,United States,CA01E783-4E31-C285-D745-D6F8429BE1B6
000125,D,Zeph Holcomb,812-8629 Dapibus Rd.,Tampa,24283,France,9565783C-5958-A5AA-EA2A-AF5833A9BF92
000126,E,Herman Massey,468-2348 Placerat Road,Sant'Egidio alla Vibrata,45138,France,149B78F7-2C5B-D420-7F9F-95E30D82D206
000127,F,Ashely Cooper,984-1242 Orci. Rd.,Quilaco,28035,United States,3DE15F97-3F5C-CABF-126B-12B1DC2C5CCB
000128,F,Channing Lott,Ap #482-548 Egestas. Ave,Vidisha,77682,France,D83736AC-8161-9C03-865E-7774899705D8
000129,B,Otto Walker,Ap #223-6164 Interdum. Rd.,San Francisco,4253,United States,02E7853B-E584-D191-AC60-32DA75ADCA5F
000130,B,Maggy Bartlett,Ap #946-1830 Sem St.,Champigny-sur-Marne,412783,France,86217BDA-F0AC-1BEC-3C94-78DEE1873683
000131,A,Brynne Mccall,3971 Augue. Road,Okigwe,3412,United States,904FA251-41CF-9417-6202-3EB6C5B67DDE
000132,C,Elliott Marks,Ap #580-1400 Euismod Rd.,Gwangyang,787892,France,8D0EAE26-5735-5C6C-EADA-4BA3E7A3D9B4
000133,D,Russell Gentry,141-2779 Purus Ave,Cheyenne,771342,United States,CC8DFFB1-5800-3E94-2EC7-15B739797431
000134,B,Jin Richard,Ap #122-7335 Quisque Rd.,Nantes,744179,France,33E5EC3A-4877-44B8-8662-E6E4D8C895FB
000135,C,Hedley Kidd,2053 Vel Rd.,Ovalle,45711,France,43DAECC1-8FDC-C7B4-AD49-2E2217C26493
000136,C,Bruce Morrison,675-9596 In St.,Joliet,10061,United States,BBF22A5C-BE5F-B1D6-0B4D-4736A5BF7D0E
000137,D,Buffy Sanchez,354-1031 Nec Avenue,Chakwal,2756,United States,5089E27C-2748-B12C-F1AE-373210C75E65
000138,B,Jessamine Anthony,589-4338 Morbi Av.,Cork,231233,United States,DF786B37-7928-52D6-3319-3DF3E69A32CC
000139,A,Berk Farmer,8064 Faucibus Avenue,Sosnowiec,374827,United States,1266C00E-5937-8EBD-D6B7-ABCB5FF29221
000140,A,Cherokee Norman,4347 Condimentum. St.,Chulucanas,62524,United States,A95DC40C-A989-40EC-DD72-3EAE0E43BA3F
000141,D,Kaseem Francis,Ap #746-9018 Justo. Rd.,Gebze,85424-71316,United States,EE882C69-9A99-B42C-1BA8-9313B075D750
000142,E,Lani Downs,Ap #327-6504 Morbi Road,Sagamu,8172,United States,5F00E943-7BDD-7E88-2160-9BE72C131731
000143,F,Erasmus Gallagher,731-9934 Magna. Street,Kurgan,19757,France,A919849B-C2BD-99C5-BE1A-E21571A7DCDD
000144,F,Xaviera Downs,4283 Cras Av.,Rechnitz,20726,United States,AA5988B4-D708-7909-2968-1E79A8D962A1
000145,B,Carter Meadows,Ap #443-1451 Nisi Rd.,Linz,932185,France,D23EEB39-E4E7-1FD4-F881-7C4E9CB5E6B4
000146,B,Gail Vasquez,565-5708 Dis St.,Irkutsk,32924,France,76428CAF-6723-28C0-371C-D1C6367E294B
000147,E,Perry Hooper,Ap #939-7386 Lobortis Av.,Chimay,41606,France,6E48A1E8-D0F6-3EF6-F226-2B85C745A1EA
000148,H,Grady Vargas,7426 Vivamus Road,Brandenburg,9631,United States,3014E652-CCDD-280C-32E9-4AB3317875B3
000149,F,Oren Mendoza,Ap #515-944 Nunc St.,Barrow-in-Furness,14955,United States,993A8BEA-D093-2DD5-A382-7C801A921C1A
000150,B,Vivian Barlow,Ap #247-7282 Duis Road,Alkmaar,X98 5RO,United States,F818D840-0773-5C7A-25DC-5D395733917D
000151,B,Isadora Davis,Ap #347-3956 Maecenas Street,Cheonan,241136,United States,686AFDE5-6B8E-F6E0-5A09-641158CE3FAC
000152,H,Jeremy Hoover,7426 Vivamus Road,Brandenburg,9631,United States,28FAB23A-DB79-B580-2989-2B1D662EB896
000153,C,Charles Kinney,182-2808 Luctus Street,Cork,95232,France,DDA45C54-22B8-9749-9985-1BBBB8239D6D
000154,D,Elaine Bradford,Ap #140-2667 In St.,Roubaix,U3O 2PH,France,135795C6-313B-47B9-2577-36A532347472
000155,A,Jenette Gordon,251-7241 Accumsan St.,Bursa,9674,France,4DA54A86-4307-AD30-BDE9-285943533079
000156,H,Lynn Shelton,7426 Vivamus Road,Brandenburg,9631,United States,8E88BBA1-152C-3674-3991-786A85692BD8
000157,E,Carolyn Hatfield,600-8066 Proin Road,Halifax,2246,United States,7832BC38-CCA9-63F7-97EF-3C93A749148D
000158,F,Vielka Reilly,662-1565 Tincidunt Street,Alphen aan den Rijn,10324,France,4F6B1D11-A3AE-3E9C-AAFF-17295494C369
000159,F,Ifeoma Rush,2225 Rutrum St.,Bandar Lampung,32984,France,B47C36DA-D971-6DA4-33A5-B976F47F9392
000160,G,Hermione Norton,Ap #301-8697 Purus. Rd.,Sangju,407775,France,839A00DC-9BAD-4B23-3524-C01491268757
000161,B,Cyrus Ewing,Ap #111-9730 A Rd.,Altidona,12167-11585,France,DBCC143E-5B89-DDC3-1AAE-D4811E84B323
000162,H,Stewart Patel,7426 Vivamus Road,Brandenburg,9631,United States,C86A7134-8EC6-7EAA-717D-B1F80A3F2A5D
000163,F,Marah Chavez,7339 Vivamus Rd.,Las Palmas,45153,France,46E6D118-E5DA-EC23-638D-A0A96ABCFA94
000164,F,Wade Flowers,Ap #856-3118 Et Road,Amiens,442814,United States,8A15372E-9899-C5A3-5944-A44EAA027DDA
000165,B,Brady York,Ap #546-9241 Lacus. St.,Lelystad,2756,France,D24DA916-0683-CCD5-3F61-884602B7934B
000166,B,Daquan Love,2180 Sociis Road,Bergen,684243,United States,CEE4E99B-A826-8848-3338-A56C86167F6E
000167,A,Elton Cash,Ap #396-8702 Suspendisse St.,Cork,924343,United States,0EDD7B45-529E-DD5A-8B39-3A767EB5ECB5
000168,C,Reed Stanley,Ap #713-9516 Facilisis. Rd.,Pinkafeld,7262,United States,437491A8-8D84-9ED5-D98A-617D7EA35E26
000169,D,Colby Young,604-3487 Mauris Avenue,Metro,Z4 5DM,United States,A548A9BC-6AE2-8E99-52B4-0A5BA4E465D5
000170,G,Christian Rodgers,Ap #301-8697 Purus. Rd.,Sangju,407775,France,65A8FA1D-099D-B4A4-413C-1B96064D595E
000171,A,Kirsten Estrada,662 Tempus St.,Osan,77-158,France,7D943427-BAFC-6B82-4262-ACB4AC59C571
000172,G,Nash Salinas,Ap #301-8697 Purus. Rd.,Sangju,407775,France,6B20DBE7-115A-719A-B53C-52C25221448B
000173,D,Rama Mathews,Ap #872-8601 Ut Ave,Yeosu,84-607,United States,9A9D72D2-8BB8-B8C2-D623-0DD145EA93B3
000174,C,Xander Sullivan,351-557 Velit. Ave,Yeongju,99171,United States,1B146353-5319-5B6B-77E6-54D84E777832
000175,C,Carl Ashley,Ap #126-6083 Pellentesque Av.,Zierikzee,6978 FI,France,168C3ED1-88B5-7C25-2180-F7E3B0515364
000176,B,Lunea Gould,452-9197 Ipsum. Road,Pabianice,6442,France,F543BC5D-1244-6594-C08B-312D85213403
000177,D,Scarlett Best,142-3426 Dui. Street,Breda,814865,France,C80AED77-56FA-8D9D-B48C-ADCE08D4C7D5
000178,A,Demetria Poole,3375 Fringilla Av.,Bendigo,442849,France,9A78162B-9D5E-B73A-AC15-1D4CB0570E2E
000179,G,Felix Merrill,Ap #301-8697 Purus. Rd.,Sangju,407775,France,442D9E22-AC57-A42F-1AF6-814349DE7430
000180,C,Mara Mccray,Ap #789-1565 Mauris Avenue,Agartala,39691,United States,B7B632AA-0987-0BE7-2E37-E30F94A1F4EE
000181,D,Nora Fry,378-3619 Lectus. Avenue,Olinda,18281,France,73CBBBD7-1198-DC5C-71DE-B6974115C4C0
